           J                                       Params
0  -0.518870                                [10.0, 0.005]
1  -0.401245                     [16.88409869475892, 0.0]
2  -0.328585                    [48.135141303502564, 0.0]
3  -0.373618                     [81.30807964507942, 0.0]
4  -0.290883    [97.38111487255973, 0.005332697635579135]
5  -2.460102                    [122.61354744126602, 0.0]
6  -0.297422     [68.0215766248322, 0.015490900408139264]
7  -0.282464    [107.82869400979908, 0.01517286546392185]
8  -0.342381    [30.303900763580554, 0.01482713453607815]
9  -0.963329   [2.0454945138448837, 0.016875471373707603]
10 -0.393719    [67.77729789286494, 0.021639365770907994]
11 -0.349095    [29.478542959267646, 0.02166380422469169]
12 -0.302640      [55.2262956148964, 0.00719042860545786]
13 -1.608814    [100.1820874241287, 0.024522170034065822]
14 -0.522741   [10.731935947859418, 0.024023810760956932]
15 -1.337709                  [0.0, 0.008850945297035083]
16 -0.987829    [59.22326474077097, 0.025873452450285887]
17 -0.396933    [19.29382260248364, 0.010700586986364037]
18 -0.281874    [109.6145873277701, 0.008850945297035083]
19 -0.285443     [86.43806991329232, 0.01016259939079103]
20 -0.358132    [135.11944311558887, 0.01482713453607815]
21 -0.332075    [36.11841738288787, 0.004050862539021153]
22 -0.455045   [132.89930083994494, 0.008850945297035083]
23 -0.295821    [69.88178416364187, 0.003737488100367682]
24 -0.317716     [48.7379493814941, 0.018743015225421232]
25 -1.003267    [162.07075626864588, 0.01517286546392185]
26 -0.314433    [47.26191337414188, 0.010700586986364037]
27 -0.589200      [95.8950873307126, 0.02017286546392185]
28 -0.722092   [23.509387832550715, 0.027626151043411155]
29 -1.053890     [138.657897291781, 0.018416908939555613]
30 -0.287483     [86.63411513373754, 0.01564646927112993]
31 -0.784776   [114.37995394321432, 0.019465950176156103]
32 -0.749238                     [94.39860275817378, 0.0]
33 -0.288280    [76.82309970087692, 0.006990163200623003]
34 -0.976172     [1.870169331132729, 0.02816083830103895]
35 -0.281478   [117.81345430193292, 0.012453285579489305]
36 -1.028130     [33.95746994385066, 0.02845753533082207]
37 -0.604246    [151.8643899046491, 0.009152489802190187]
38 -0.296230    [66.17780088018836, 0.011755281457669632]
39 -0.894225    [73.55511841554508, 0.024023810760956932]
40 -0.293698  [114.16778787700858, 0.0052334432919863595]
41 -1.129417                   [0.0, 0.02017286546392185]
42 -0.344851   [30.714965696684416, 0.008241777369315601]
43 -0.807411     [4.10800577945898, 0.014373886582248096]
44 -0.794882    [154.51510359368967, 0.00719042860545786]
45 -1.438666                  [0.0, 0.005000000000000001]
46 -0.333600                     [31.87466800834816, 0.0]
47 -0.313653     [48.61590031853649, 0.01482713453607815]
48 -0.609587   [164.00413111918525, 0.012453285579489305]
49 -0.349421                     [64.73060158832821, 0.0]
